run_group,scenario,scenario_label,parameter,parameter_value,replicate,seed,run_tag,run_dir,master_csv,duration_sec,status,error
scr_0613_0539,ce_strong,Targeted CE expansion,beta_cei,-0.005,0,124680,Bm5_TG_r0,C:\Sanja_Cooperation_2\Journal_of_cleaner_production_revision\github_reposit\results\runs\scr_0613_0539_Bm5_TG_r0_ce_strong,C:\Sanja_Cooperation_2\Journal_of_cleaner_production_revision\github_reposit\results\runs\scr_0613_0539_Bm5_TG_r0_ce_strong\MASTER_metrics.csv,123.14966990001267,ok,
scr_0613_0539,ce_strong,Targeted CE expansion,beta_cei,-0.015,0,124680,Bm15_TG_r0,C:\Sanja_Cooperation_2\Journal_of_cleaner_production_revision\github_reposit\results\runs\scr_0613_0539_Bm15_TG_r0_ce_strong,C:\Sanja_Cooperation_2\Journal_of_cleaner_production_revision\github_reposit\results\runs\scr_0613_0539_Bm15_TG_r0_ce_strong\MASTER_metrics.csv,119.13708440001938,ok,
scr_0613_0539,ce_strong,Targeted CE expansion,beta_cei,-0.03,0,124680,Bm30_TG_r0,C:\Sanja_Cooperation_2\Journal_of_cleaner_production_revision\github_reposit\results\runs\scr_0613_0539_Bm30_TG_r0_ce_strong,C:\Sanja_Cooperation_2\Journal_of_cleaner_production_revision\github_reposit\results\runs\scr_0613_0539_Bm30_TG_r0_ce_strong\MASTER_metrics.csv,123.10358979998273,ok,
scr_0613_0539,ce_strong,Targeted CE expansion,gamma_need_savings,0.0,0,124680,Gz_TG_r0,C:\Sanja_Cooperation_2\Journal_of_cleaner_production_revision\github_reposit\results\runs\scr_0613_0539_Gz_TG_r0_ce_strong,C:\Sanja_Cooperation_2\Journal_of_cleaner_production_revision\github_reposit\results\runs\scr_0613_0539_Gz_TG_r0_ce_strong\MASTER_metrics.csv,119.27180729998508,ok,
scr_0613_0539,ce_strong,Targeted CE expansion,gamma_need_savings,0.25,0,124680,Gp250_TG_r0,C:\Sanja_Cooperation_2\Journal_of_cleaner_production_revision\github_reposit\results\runs\scr_0613_0539_Gp250_TG_r0_ce_strong,C:\Sanja_Cooperation_2\Journal_of_cleaner_production_revision\github_reposit\results\runs\scr_0613_0539_Gp250_TG_r0_ce_strong\MASTER_metrics.csv,117.86746190002305,ok,
scr_0613_0539,ce_strong,Targeted CE expansion,gamma_need_savings,0.5,0,124680,Gp500_TG_r0,C:\Sanja_Cooperation_2\Journal_of_cleaner_production_revision\github_reposit\results\runs\scr_0613_0539_Gp500_TG_r0_ce_strong,C:\Sanja_Cooperation_2\Journal_of_cleaner_production_revision\github_reposit\results\runs\scr_0613_0539_Gp500_TG_r0_ce_strong\MASTER_metrics.csv,123.62278030000743,ok,
scr_0613_0539,ce_strong,Targeted CE expansion,gamma_need_savings,0.6,0,124680,Gp600_TG_r0,C:\Sanja_Cooperation_2\Journal_of_cleaner_production_revision\github_reposit\results\runs\scr_0613_0539_Gp600_TG_r0_ce_strong,C:\Sanja_Cooperation_2\Journal_of_cleaner_production_revision\github_reposit\results\runs\scr_0613_0539_Gp600_TG_r0_ce_strong\MASTER_metrics.csv,118.12046279999777,ok,
scr_0613_0539,ce_strong,Targeted CE expansion,gamma_need_savings,0.75,0,124680,Gp750_TG_r0,C:\Sanja_Cooperation_2\Journal_of_cleaner_production_revision\github_reposit\results\runs\scr_0613_0539_Gp750_TG_r0_ce_strong,C:\Sanja_Cooperation_2\Journal_of_cleaner_production_revision\github_reposit\results\runs\scr_0613_0539_Gp750_TG_r0_ce_strong\MASTER_metrics.csv,124.07537530001719,ok,
scr_0613_0539,ce_strong,Targeted CE expansion,gamma_need_savings,1.0,0,124680,Gp1000_TG_r0,C:\Sanja_Cooperation_2\Journal_of_cleaner_production_revision\github_reposit\results\runs\scr_0613_0539_Gp1000_TG_r0_ce_strong,C:\Sanja_Cooperation_2\Journal_of_cleaner_production_revision\github_reposit\results\runs\scr_0613_0539_Gp1000_TG_r0_ce_strong\MASTER_metrics.csv,120.35670099998242,ok,
scr_0613_0539,ce_strong,Targeted CE expansion,move_prob,0.0,0,124680,Mz_TG_r0,C:\Sanja_Cooperation_2\Journal_of_cleaner_production_revision\github_reposit\results\runs\scr_0613_0539_Mz_TG_r0_ce_strong,C:\Sanja_Cooperation_2\Journal_of_cleaner_production_revision\github_reposit\results\runs\scr_0613_0539_Mz_TG_r0_ce_strong\MASTER_metrics.csv,116.42222010000842,ok,
scr_0613_0539,ce_strong,Targeted CE expansion,move_prob,0.01,0,124680,Mp10_TG_r0,C:\Sanja_Cooperation_2\Journal_of_cleaner_production_revision\github_reposit\results\runs\scr_0613_0539_Mp10_TG_r0_ce_strong,C:\Sanja_Cooperation_2\Journal_of_cleaner_production_revision\github_reposit\results\runs\scr_0613_0539_Mp10_TG_r0_ce_strong\MASTER_metrics.csv,121.53384519999963,ok,
scr_0613_0539,ce_strong,Targeted CE expansion,move_prob,0.05,0,124680,Mp50_TG_r0,C:\Sanja_Cooperation_2\Journal_of_cleaner_production_revision\github_reposit\results\runs\scr_0613_0539_Mp50_TG_r0_ce_strong,C:\Sanja_Cooperation_2\Journal_of_cleaner_production_revision\github_reposit\results\runs\scr_0613_0539_Mp50_TG_r0_ce_strong\MASTER_metrics.csv,118.47304859998985,ok,
scr_0613_0539,ce_strong,Targeted CE expansion,move_prob,0.1,0,124680,Mp100_TG_r0,C:\Sanja_Cooperation_2\Journal_of_cleaner_production_revision\github_reposit\results\runs\scr_0613_0539_Mp100_TG_r0_ce_strong,C:\Sanja_Cooperation_2\Journal_of_cleaner_production_revision\github_reposit\results\runs\scr_0613_0539_Mp100_TG_r0_ce_strong\MASTER_metrics.csv,124.93878179998137,ok,
scr_0613_0539,ce_strong,Targeted CE expansion,move_prob,0.2,0,124680,Mp200_TG_r0,C:\Sanja_Cooperation_2\Journal_of_cleaner_production_revision\github_reposit\results\runs\scr_0613_0539_Mp200_TG_r0_ce_strong,C:\Sanja_Cooperation_2\Journal_of_cleaner_production_revision\github_reposit\results\runs\scr_0613_0539_Mp200_TG_r0_ce_strong\MASTER_metrics.csv,120.05254449998029,ok,
scr_0613_0539,ce_strong,Targeted CE expansion,eta_opp_scale,0.5,0,124680,Ep500_TG_r0,C:\Sanja_Cooperation_2\Journal_of_cleaner_production_revision\github_reposit\results\runs\scr_0613_0539_Ep500_TG_r0_ce_strong,C:\Sanja_Cooperation_2\Journal_of_cleaner_production_revision\github_reposit\results\runs\scr_0613_0539_Ep500_TG_r0_ce_strong\MASTER_metrics.csv,117.60276149999117,ok,
scr_0613_0539,ce_strong,Targeted CE expansion,eta_opp_scale,0.75,0,124680,Ep750_TG_r0,C:\Sanja_Cooperation_2\Journal_of_cleaner_production_revision\github_reposit\results\runs\scr_0613_0539_Ep750_TG_r0_ce_strong,C:\Sanja_Cooperation_2\Journal_of_cleaner_production_revision\github_reposit\results\runs\scr_0613_0539_Ep750_TG_r0_ce_strong\MASTER_metrics.csv,122.53174870001385,ok,
scr_0613_0539,ce_strong,Targeted CE expansion,eta_opp_scale,1.0,0,124680,Ep1000_TG_r0,C:\Sanja_Cooperation_2\Journal_of_cleaner_production_revision\github_reposit\results\runs\scr_0613_0539_Ep1000_TG_r0_ce_strong,C:\Sanja_Cooperation_2\Journal_of_cleaner_production_revision\github_reposit\results\runs\scr_0613_0539_Ep1000_TG_r0_ce_strong\MASTER_metrics.csv,118.15592330001527,ok,
