run_group,stage,experiment,scenario,replicate,seed,beta_cei,observability_prob,duration_sec,status
r20260612_134238,simulation,main,ce_strong,74,12419,-0.015,0.5,120.320246,ok
r20260612_134238,simulation,main,ce_off,75,12420,-0.015,0.5,30.249924,ok
r20260612_134238,simulation,main,ce_light,75,12420,-0.015,0.5,95.576425,ok
r20260612_134238,simulation,main,baseline,75,12420,-0.015,0.5,111.933753,ok
r20260612_134238,simulation,main,ce_strong,75,12420,-0.015,0.5,122.490219,ok
r20260612_134238,simulation,main,ce_off,76,12421,-0.015,0.5,30.522696,ok
r20260612_134238,simulation,main,ce_light,76,12421,-0.015,0.5,97.438282,ok
r20260612_134238,simulation,main,baseline,76,12421,-0.015,0.5,112.378266,ok
r20260612_134238,simulation,main,ce_strong,76,12421,-0.015,0.5,120.466845,ok
r20260612_134238,simulation,main,ce_off,77,12422,-0.015,0.5,30.271290,ok
r20260612_134238,simulation,main,ce_light,77,12422,-0.015,0.5,96.880392,ok
r20260612_134238,simulation,main,baseline,77,12422,-0.015,0.5,112.114888,ok
r20260612_134238,simulation,main,ce_strong,77,12422,-0.015,0.5,120.928758,ok
r20260612_134238,simulation,main,ce_off,78,12423,-0.015,0.5,30.453268,ok
r20260612_134238,simulation,main,ce_light,78,12423,-0.015,0.5,96.470436,ok
r20260612_134238,simulation,main,baseline,78,12423,-0.015,0.5,114.796773,ok
r20260612_134238,simulation,main,ce_strong,78,12423,-0.015,0.5,141.149051,ok
r20260612_134238,simulation,main,ce_off,79,12424,-0.015,0.5,63.521251,ok
r20260612_134238,simulation,main,ce_light,79,12424,-0.015,0.5,98.100146,ok
r20260612_134238,simulation,main,baseline,79,12424,-0.015,0.5,111.975056,ok
r20260612_134238,simulation,main,ce_strong,79,12424,-0.015,0.5,119.296716,ok
r20260612_134238,simulation,main,ce_off,80,12425,-0.015,0.5,29.963085,ok
r20260612_134238,simulation,main,ce_light,80,12425,-0.015,0.5,96.411172,ok
r20260612_134238,simulation,main,baseline,80,12425,-0.015,0.5,111.966600,ok
r20260612_134238,simulation,main,ce_strong,80,12425,-0.015,0.5,121.399809,ok
r20260612_134238,simulation,main,ce_off,81,12426,-0.015,0.5,30.430600,ok
r20260612_134238,simulation,main,ce_light,81,12426,-0.015,0.5,98.622335,ok
r20260612_134238,simulation,main,baseline,81,12426,-0.015,0.5,113.512824,ok
r20260612_134238,simulation,main,ce_strong,81,12426,-0.015,0.5,118.852560,ok
r20260612_134238,simulation,main,ce_off,82,12427,-0.015,0.5,30.379529,ok
r20260612_134238,simulation,main,ce_light,82,12427,-0.015,0.5,96.831223,ok
r20260612_134238,simulation,main,baseline,82,12427,-0.015,0.5,116.640550,ok
r20260612_134238,simulation,main,ce_strong,82,12427,-0.015,0.5,121.246329,ok
r20260612_134238,simulation,main,ce_off,83,12428,-0.015,0.5,30.603576,ok
r20260612_134238,simulation,main,ce_light,83,12428,-0.015,0.5,96.517041,ok
r20260612_134238,simulation,main,baseline,83,12428,-0.015,0.5,114.932021,ok
r20260612_134238,simulation,main,ce_strong,83,12428,-0.015,0.5,119.061233,ok
r20260612_134238,simulation,main,ce_off,84,12429,-0.015,0.5,30.652744,ok
