run_group,check_rep,scenario,metric,n,mean,sd,ci95_half_width,relative_half_width,passed,criterion
r20260612_134238,20,ce_strong,MEAN_RESOURCES,20,5.242875680356033,0.09479328829557039,0.04154499034216759,0.007924084581640577,True,rel_hw<=0.05
r20260612_134238,25,ce_off,MEAN_LOCAL_CE_ACTIVATION,25,0.0,0.0,0.0,0.0,True,abs_hw<=0.0001
r20260612_134238,25,ce_off,CEI_SIM,25,0.0,0.0,0.0,0.0,True,abs_hw<=0.0001
r20260612_134238,25,ce_off,UNEMPLOYMENT,25,0.10000000000000002,0.0,0.0,0.0,True,rel_hw<=0.05
r20260612_134238,25,ce_off,D_adv_exposure,25,0.030028101286707583,0.00044781809938335094,0.00017554469495827357,0.005846013814932122,True,rel_hw<=0.05
r20260612_134238,25,ce_off,D_resources,25,0.027533848366921552,0.011668598762227967,0.004574090714793363,0.16612609519156632,False,rel_hw<=0.05
r20260612_134238,25,ce_off,MEAN_RESOURCES,25,1.0284855589930089,0.012192855387789806,0.004779599312013604,0.0046472206344766905,True,rel_hw<=0.05
r20260612_134238,25,ce_light,MEAN_LOCAL_CE_ACTIVATION,25,0.025215845714481874,0.012401009331286596,0.004861195657864346,0.19278336776436103,False,rel_hw<=0.05
r20260612_134238,25,ce_light,CEI_SIM,25,0.5628757918396388,0.00351759179253947,0.0013788959826754722,0.0024497340313194968,True,rel_hw<=0.05
r20260612_134238,25,ce_light,UNEMPLOYMENT,25,0.09155686312240542,5.27638768880933e-05,2.0683439740132574e-05,0.0002259081300380529,True,rel_hw<=0.05
r20260612_134238,25,ce_light,D_adv_exposure,25,0.17851788461845544,0.009010738575086816,0.0035322095214340315,0.019786306167493464,True,rel_hw<=0.05
r20260612_134238,25,ce_light,D_resources,25,0.1492857716991345,0.015309339405928078,0.0060012610471238065,0.04019981930507446,True,rel_hw<=0.05
r20260612_134238,25,ce_light,MEAN_RESOURCES,25,1.1765436697310832,0.02146045732686077,0.008412499272129422,0.0071501802173243815,True,rel_hw<=0.05
r20260612_134238,25,baseline,MEAN_LOCAL_CE_ACTIVATION,25,0.018811282702104457,0.0007751778595132223,0.0003038697209291831,0.01615358855327758,True,rel_hw<=0.05
r20260612_134238,25,baseline,CEI_SIM,25,0.6188524859892013,0.0016587172767401719,0.0006502171724821474,0.001050682007753126,True,rel_hw<=0.05
r20260612_134238,25,baseline,UNEMPLOYMENT,25,0.090717212710162,2.4880759151100448e-05,9.753257587231375e-06,0.00010751275635410733,True,rel_hw<=0.05
r20260612_134238,25,baseline,D_adv_exposure,25,0.1701848840087562,0.00039490380092257967,0.0001548022899616512,0.0009096124539103394,True,rel_hw<=0.05
r20260612_134238,25,baseline,D_resources,25,0.3795280718829392,0.016222137642005544,0.006359077955666173,0.016755224255526356,True,rel_hw<=0.05
r20260612_134238,25,baseline,MEAN_RESOURCES,25,1.6208674676963881,0.042700621334658635,0.016738643563186183,0.010326966205926451,True,rel_hw<=0.05
r20260612_134238,25,ce_strong,MEAN_LOCAL_CE_ACTIVATION,25,0.019886354422152835,0.0035274720106620886,0.0013827690281795388,0.06953356049207156,False,rel_hw<=0.05
r20260612_134238,25,ce_strong,CEI_SIM,25,0.6417891812418661,0.0016357811856954761,0.0006412262247926266,0.0009991228327530387,True,rel_hw<=0.05
r20260612_134238,25,ce_strong,UNEMPLOYMENT,25,0.09037316228137202,2.4536717785432024e-05,9.618393371889353e-06,0.00010642975335911119,True,rel_hw<=0.05
r20260612_134238,25,ce_strong,D_adv_exposure,25,0.17418863173320173,0.004552542741927082,0.0017845967548354162,0.010245196469358672,True,rel_hw<=0.05
r20260612_134238,25,ce_strong,D_resources,25,0.7730083723421431,0.00276323187181056,0.0010831868937497395,0.0014012615289893749,True,rel_hw<=0.05
r20260612_134238,25,ce_strong,MEAN_RESOURCES,25,5.247274675865745,0.09819901024848542,0.03849401201740628,0.007336000951971354,True,rel_hw<=0.05
r20260612_134238,30,ce_off,MEAN_LOCAL_CE_ACTIVATION,30,0.0,0.0,0.0,0.0,True,abs_hw<=0.0001
r20260612_134238,30,ce_off,CEI_SIM,30,0.0,0.0,0.0,0.0,True,abs_hw<=0.0001
r20260612_134238,30,ce_off,UNEMPLOYMENT,30,0.10000000000000003,1.4115032135209254e-17,5.050999380238087e-18,5.050999380238085e-17,True,rel_hw<=0.05
