metric,scenario,scenario_label,n_runs,last_window,last_mean,last_sd,last_ci95_low,last_ci95_high,last_median,last_min,last_max,delta_convention,delta_mean,delta_sd,delta_ci95_low,delta_ci95_high,delta_median,delta_min,delta_max
MEAN_ADV_EXPOSURE,ce_strong,Targeted CE expansion,100,24,0.6048352741763864,0.014765499524397761,0.6019412362696044,0.6077293120831684,0.6092870207092433,0.5567912860157013,0.6340709428727023,final_minus_initial,0.14578665836258023,0.014288663393668898,0.14298608033742113,0.14858723638773932,0.15037690106859883,0.11164921006347633,0.17477416050729477
D_resources,ce_off,Linear reference,100,24,0.02782966298357446,0.013283817063519731,0.02522603483912459,0.03043329112802433,0.031972149484983454,0.0,0.057293366343669494,final_minus_initial,-0.28378009390529335,0.01179210517451269,-0.28609134651949786,-0.28146884129108884,-0.2789158475870112,-0.3058867939430303,-0.2595222383331865
D_resources,ce_light,Light CE,100,24,0.1494019981705258,0.018756010727657858,0.14572582006790485,0.15307817627314674,0.1504972258126196,0.10140924768245368,0.20404967390521533,final_minus_initial,-0.1789284346128512,0.019526525931877682,-0.18275563369549924,-0.17510123553020318,-0.17790828964953476,-0.21907906756254447,-0.11013069504037862
D_resources,baseline,Baseline CE,100,24,0.38089463854225997,0.01656692994190051,0.37764752027364745,0.3841417568108725,0.38107503252164293,0.33360510859859344,0.41914367399226954,final_minus_initial,0.03711017584837457,0.018144085981781844,0.03355393499594533,0.04066641670080381,0.03733378303570395,-0.006186651732627335,0.08018817619542251
D_resources,ce_strong,Targeted CE expansion,100,24,0.7731727535422067,0.0027220255859777016,0.7726392365273551,0.7737062705570583,0.7734203124119551,0.7663355519387064,0.7788144787552138,final_minus_initial,0.45409037629550836,0.003360711704423393,0.45343167680144136,0.45474907578957535,0.4545422362435537,0.445684316270243,0.4609262411280574
MEAN_RESOURCES,ce_off,Linear reference,100,24,1.0288425315833938,0.013902789158660599,1.0261175849082964,1.0315674782584912,1.0330468563440331,1.0,1.0608729819760911,final_minus_initial,-79.82498081847761,0.013352524956899266,-79.82759791336916,-79.82236372358607,-79.81990982432714,-79.85306051320195,-79.79738795889664
MEAN_RESOURCES,ce_light,Light CE,100,24,1.1769246464078393,0.026156870240327337,1.1717978998407352,1.1820513929749434,1.1777140652720584,1.1131428058505102,1.2577887417490616,final_minus_initial,-79.71603890649617,0.025998695755080882,-79.72113465086416,-79.71094316212817,-79.71543481540165,-79.77337706275432,-79.61569334830581
MEAN_RESOURCES,baseline,Baseline CE,100,24,1.6245503239413426,0.043984880461624194,1.6159292873708642,1.633171360511821,1.6238651580904466,1.5059165149768805,1.7332150540752524,final_minus_initial,-79.33924369130935,0.04318951309398019,-79.34770883587576,-79.33077854674293,-79.33947214085748,-79.43864106147578,-79.22507245207501
MEAN_RESOURCES,ce_strong,Targeted CE expansion,100,24,5.255503173676024,0.09340646701042925,5.23719550614198,5.273810841210068,5.25773411971351,5.027147248977086,5.4538949904073695,final_minus_initial,-76.12714538175412,0.09306990026168635,-76.1453870822054,-76.10890368130283,-76.13100271585586,-76.3555736975518,-75.92870978475024
MOVE_COUNT_M,ce_off,Linear reference,100,24,177.2554166666666,3.2024529334504215,176.62773589171033,177.88309744162288,177.16666666666666,169.41666666666666,183.25,final_minus_initial,-66.2,20.43763610834114,-70.20577667723487,-62.19422332276514,-69.5,-113.0,9.0
