run_group,scenario,scenario_label,parameter,parameter_label,parameter_description,metric,metric_label,baseline_last_mean_full_model,min_last_mean,max_last_mean,range_last_mean,relative_sensitivity_score,n_levels
scr_0613_0539,ce_strong,Targeted CE expansion,gamma_need_savings,$\gamma_{\mathrm{ns}}$,Strength of CE-driven new-product demand reduction,MEAN_LOCAL_CE_ACTIVATION,K1 mean local CE activation,0.019210167959022195,0.01828484608682886,0.01942526167036102,0.0011404155835321589,0.05936520318820801,6
scr_0613_0539,ce_strong,Targeted CE expansion,gamma_need_savings,$\gamma_{\mathrm{ns}}$,Strength of CE-driven new-product demand reduction,TRADES_COUNT_M,K3 CE flows,3999.6666666666665,3987.9166666666665,4121.75,133.83333333333348,0.03346112176013835,6
scr_0613_0539,ce_strong,Targeted CE expansion,gamma_need_savings,$\gamma_{\mathrm{ns}}$,Strength of CE-driven new-product demand reduction,UNEMPLOYMENT,K4 unemployment,0.09037813957482965,0.08956296059925561,0.09047811210400071,0.0009151515047450959,0.010125805852216946,6
scr_0613_0539,ce_strong,Targeted CE expansion,hotspot_burden_scale,Waste-burden scale,Scale multiplier for ADV_WASTE_PENALTY,CEI_SIM,K2 flow-based citywide CE index,0.6414573616780198,0.6414573616780198,0.6414573616780198,0.0,0.0,5
scr_0613_0539,ce_strong,Targeted CE expansion,hotspot_burden_scale,Waste-burden scale,Scale multiplier for ADV_WASTE_PENALTY,D_adv_exposure,K5 spatial-advantage exposure inequality,0.1707393907305407,0.10704480570617651,0.4043414322378836,0.2972966265317071,1.7412304420112836,5
scr_0613_0539,ce_strong,Targeted CE expansion,hotspot_burden_scale,Waste-burden scale,Scale multiplier for ADV_WASTE_PENALTY,D_resources,K6 economic-resource inequality,0.7731252322662249,0.7731252322662249,0.7731252322662249,0.0,0.0,5
scr_0613_0539,ce_strong,Targeted CE expansion,hotspot_burden_scale,Waste-burden scale,Scale multiplier for ADV_WASTE_PENALTY,MEAN_LOCAL_CE_ACTIVATION,K1 mean local CE activation,0.019210167959022195,0.019210167959022195,0.019210167959022195,0.0,0.0,5
scr_0613_0539,ce_strong,Targeted CE expansion,hotspot_burden_scale,Waste-burden scale,Scale multiplier for ADV_WASTE_PENALTY,TRADES_COUNT_M,K3 CE flows,3999.6666666666665,3999.6666666666665,3999.6666666666665,0.0,0.0,5
scr_0613_0539,ce_strong,Targeted CE expansion,hotspot_burden_scale,Waste-burden scale,Scale multiplier for ADV_WASTE_PENALTY,UNEMPLOYMENT,K4 unemployment,0.09037813957482965,0.09037813957482965,0.09037813957482965,0.0,0.0,5
scr_0613_0539,ce_strong,Targeted CE expansion,move_prob,$p_{\mathrm{move}}$,Monthly exposure-update probability,CEI_SIM,K2 flow-based citywide CE index,0.6414573616780198,0.6278380903940706,0.6477918179071719,0.019953727513101316,0.031106864889345904,5
scr_0613_0539,ce_strong,Targeted CE expansion,move_prob,$p_{\mathrm{move}}$,Monthly exposure-update probability,D_adv_exposure,K5 spatial-advantage exposure inequality,0.1707393907305407,0.1347428252173443,0.1833586205911011,0.04861579537375682,0.2847368429804518,5
scr_0613_0539,ce_strong,Targeted CE expansion,move_prob,$p_{\mathrm{move}}$,Monthly exposure-update probability,D_resources,K6 economic-resource inequality,0.7731252322662249,0.7716482515037182,0.78703002838652,0.015381776882801845,0.019895582527837567,5
scr_0613_0539,ce_strong,Targeted CE expansion,move_prob,$p_{\mathrm{move}}$,Monthly exposure-update probability,MEAN_LOCAL_CE_ACTIVATION,K1 mean local CE activation,0.019210167959022195,0.01379550653151198,0.028985316146239188,0.015189809614727209,0.7907171273261084,5
scr_0613_0539,ce_strong,Targeted CE expansion,move_prob,$p_{\mathrm{move}}$,Monthly exposure-update probability,TRADES_COUNT_M,K3 CE flows,3999.6666666666665,3878.625,4052.4166666666665,173.79166666666652,0.04345153762812478,5
scr_0613_0539,ce_strong,Targeted CE expansion,move_prob,$p_{\mathrm{move}}$,Monthly exposure-update probability,UNEMPLOYMENT,K4 unemployment,0.09037813957482965,0.09028312273139238,0.09058242864408889,0.0002993059126965014,0.0033117069104634605,5
scr_0613_0539,ce_strong,Targeted CE expansion,observability_prob,$p_{\mathrm{obs}}$,Probability that a CE action is socially observed,CEI_SIM,K2 flow-based citywide CE index,0.6414573616780198,0.6410728142040789,0.6428029991488172,0.001730184944738311,0.0026972719395018923,3
scr_0613_0539,ce_strong,Targeted CE expansion,observability_prob,$p_{\mathrm{obs}}$,Probability that a CE action is socially observed,D_adv_exposure,K5 spatial-advantage exposure inequality,0.1707393907305407,0.17055772516304601,0.17081525845338272,0.00025753329033670336,0.001508341383476052,3
scr_0613_0539,ce_strong,Targeted CE expansion,observability_prob,$p_{\mathrm{obs}}$,Probability that a CE action is socially observed,D_resources,K6 economic-resource inequality,0.7731252322662249,0.7675834522950082,0.7731252322662249,0.005541779971216632,0.0071680236690817275,3
scr_0613_0539,ce_strong,Targeted CE expansion,observability_prob,$p_{\mathrm{obs}}$,Probability that a CE action is socially observed,MEAN_LOCAL_CE_ACTIVATION,K1 mean local CE activation,0.019210167959022195,0.017696811123347672,0.019843735478939372,0.0021469243555917,0.1117597851518834,3
scr_0613_0539,ce_strong,Targeted CE expansion,observability_prob,$p_{\mathrm{obs}}$,Probability that a CE action is socially observed,TRADES_COUNT_M,K3 CE flows,3999.6666666666665,3999.6666666666665,4007.75,8.083333333333485,0.0020210017501453782,3
scr_0613_0539,ce_strong,Targeted CE expansion,observability_prob,$p_{\mathrm{obs}}$,Probability that a CE action is socially observed,UNEMPLOYMENT,K4 unemployment,0.09037813957482965,0.09035795501276771,0.09038390778693879,2.5952774171084103e-05,0.00028715764681611474,3
